cms,ctp,ctp-engine,5.4.03.0,D:\repos\cms\ICMS\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
cms,ctp,ctp-engine,5.3.04.2,D:\repos\cms\LRCM\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
csa,ctp,ctp-engine,5.4.03.0,D:\repos\csa\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
lupm,ctp,ctp-engine,5.4.03.0,D:\repos\lupm\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
ioms,ctp,ctp-engine,5.4.03.0,D:\repos\ioms\BIMS\WEB\bims_versionWeb\WebContent\WEB-INF\lib\ctp-engine.jar
ioms,ctp,core4ctp,4.1.00.0_for_ctp4.0,D:\repos\ioms\BIMS\WEB\bims_versionWeb\WebContent\WEB-INF\back_lib\core4ctp.jar
ioms,ctp,core4ctp,4.7.01.0_for_ctp4,D:\repos\ioms\IOMS\WEB\ioms_versionWeb\WebContent\WEB-INF\lib\core4ctp.jar
ioms,ctp,cte4ctp,NA,D:\repos\ioms\SQM\WEB\sqm_versionWeb\WebContent\WEB-INF\lib\cte4ctp.jar
ama,ctp,ctp-engine,5.4.03.0,D:\repos\ama\gicc\CTP\CTP_V5.4.03.0\ctp-engine.jar
ama,ctp,ctp-engine,5.4.03.0,D:\repos\ama\gicc\OAS\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
ama,ctp,ctp-engine,5.3.04.2,D:\repos\ama\iais\OAS\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
ama,ctp,ctp-engine,5.5.00.0,D:\repos\ama\gicc\GICCDOCKER\WEB\WebContent\WEB-INF\lib\ctp-engine.jar
bom,ctp,ctp-engine,5.3.04.2,D:\repos\bom\bom\cmos\cmosservice\WebContent\WEB-INF\lib\ctp-engine.jar
bom,ctp,ctp-engine,5.3.04.2,D:\repos\bom\bom\cmos\cmos_lib\ctp-engine.jar
bom,ctp,ctp-engine,5.2.01.0,D:\repos\bom\cmos\cmos\WebContent\WEB-INF\lib\ctp-engine.jar
fsis,ctp,ctp-engine,5.4.00.0,D:\repos\fsis\fsis\Cmp_N2GSIS-WEB\gsis\WebContent\WEB-INF\lib\ctp-engine.jar
gva,ctp,cte4ctp,1.1,D:\repos\gva\Cmp_GVA-FTWEB\WebContent\WEB-INF\lib\cte4ctp.jar
gva,ctp,core4ctp,4.7.01.0_for_ctp4,D:\repos\gva\Cmp_GVA-NEWWEB\tomcat\GVANew\gva\WebContent\WEB-INF\lib\core4ctp.jar
gva,ctp,core4ctp,4.2.00.0_for_ctp4.0,D:\repos\gva\Cmp_GVA-WEB\tomcat\GVAOld\gva\WebContent\WEB-INF\lib\core4ctp.jar
ois,ctp,core4ctp,4.4.00.0_for_ctp4,D:\repos\ois\asmsweb\WebContent\WEB-INF\lib\core4ctp.jar
ois,ctp,ctp-engine,5.4.03.0,D:\repos\ois\damsweb\WebContent\WEB-INF\lib\ctp-engine.jar
ois,ctp,ctp-engine,5.2.01.0,D:\repos\ois\dwmsweb\pro\WEB-INF\lib\ctp-engine.jar
ois,ctp,ctp-engine,5.2.00.0,D:\repos\ois\fbmsweb\WebContent\WEB-INF\lib\ctp-engine.jar
ois,ctp,core4ctp,4.11.00501.0_for_ctp4,D:\repos\ois\imsweb\WebContent\WEB-INF\lib\core4ctp.jar
ois,ctp,cte4ctp,NA,D:\repos\ois\mamsweb\WebContent\WEB-INF\lib\cte4ctp.jar
ois,ctp,core4ctp,4.4.00.0_for_ctp4,D:\repos\ois\oisbhweb\WebContent\WEB-INF\lib\core4ctp.jar
ois,ctp,core4ctp,4.4.00.0_for_ctp4,D:\repos\ois\oisweb\WebContent\WEB-INF\lib\core4ctp.jar
ois,ctp,ctp-engine,5.4.03.0,D:\repos\ois\ucmweb\WebContent\WEB-INF\lib\ctp-engine.jar
rtm,ctp,ctp-engine,5.3.04.2,D:\repos\rtm\rpmweb\rtmnew_versionWeb\WebContent\WEB-INF\lib\ctp-engine.jar
rtm,ctp,core4ctp,4.1.00.0_for_ctp4.0,D:\repos\rtm\rtmweb\rtmweb\WebContent\WEB-INF\lib\core4ctp.jar
bdp,ctp,ctp-engine,5.4.03.0,D:\repos\bdp\ctp\lib\ctp-engine.jar
eti,ctp,ctp-engine,5.3.04.2,D:\repos\eti\ccmsweb\ccms_versionWeb\WebContent\WEB-INF\lib\ctp-engine.jar
eti,ctp,ctp-engine,5.4.01.0,D:\repos\eti\staweb\sta_versionWeb\WebContent\WEB-INF\lib\ctp-engine.jar
gil,ctp,ctp-engine,5.2.01.0,D:\repos\gil\solr\SearchMonitor\lib\ctp-engine.jar
